volcanoLabel;location
Сусаки;Point(23.08720016 37.9367981)
Little Matterhorn;Point(73.5 -53.0667)
Mount Ōgi;Point(134.440833333 35.439722222)
Harra es-Sawad;Point(46.12 13.58)
Q6587022;Point(35.82650278 33.15952778)
Mount Motoshirane;Point(138.53772 36.62494)
Mount Sourabaya;Point(-26.6 -59.05)
Little Mount Cameroon;Point(9.1157 4.0744)
Maungaturoto;Point(173.881 -35.3694)
Q6942101;Point(35.8113 32.9793)
Ngualla;Point(32.83932176 -7.7086222)
Mount Motoshirane;Point(138.531667 36.622939)
Mount Raiden;Point(140.4683 42.9042)
Monte Muambe;Point(34.094166666 -16.323055555)
Batea Mahuida Volcano;Point(-71.1928 -38.8189)
Kurose Hole;Point(139.68 33.4)
East Molokai Volcano;Point(-156.84 21.11)
Mount Tenjō;Point(139.15294444 34.21919444)
Santa Clara Volcano;Point(-113.625 37.256944444)
Miño Volcano;Point(-68.6 -21.183333333)
Medicine Lake Volcano;Point(-121.599530555 41.582525)
Hiruzen;Point(133.683333333 35.316666666)
Mount Kurino;Point(130.791694 31.954639)
Mount Tarō;Point(139.483333333 36.816666666)
Mount Korei;Point(133.479166666 35.437777777)
Central Skåne Volcanic Province;Point(13.52097 55.992928)
Itcha Mountain;Point(-124.83 52.7175)
Mount Neko;Point(131.14438889 32.8835)
Заречный вулкан;Point(160.833333333 56.366666666)
Tower Hill;Point(142.35 -38.3)
Mount Nitonupuri;Point(140.618056 42.885278)
Ōno Dake;Point(130.516666666 31.256111111)
Mount Chisenupuri;Point(140.5958 42.8883)
Taurere / Taylor Hill;Point(174.87 -36.8642)
Mount Onoko;Point(138.9375 36.581111111)
Гора Табор;Point(-122.595556 45.510833)
Mount Moriyoshi;Point(140.55 39.983333333)
Ōno Dake;Point(130.51680556 31.256)
Tanganasoga;Point(-18.000000048 27.765512814)
Nigorikawa;Point(140.433333 42.116667)
Nabukelevu;Point(177.98 -19.12)
Mount Kurino;Point(130.7958 31.9475)
Mount Furano;Point(142.634722222 43.393611111)
Palpana;Point(-68.5227 -21.5464)
Ричмонд (гора);Point(174.839 -36.9326)
Mount Iō;Point(130.30527778 30.79305556)
Mount Fuppushi;Point(141.35888889 42.71694444)
Mount Ōmuro;Point(139.094444444 34.904166666)
Кудзю;Point(131.24083333 33.08222222)
Q6164668;Point(-4.138227777 39.061405555)
Singu Plateau;Point(95.96666667 22.68333333)
Mount Tōnoshike Nupuri;Point(140.843056 42.603611)
Mount Tarō;Point(139.48278 36.81778)
Mount Tenjō;Point(139.1548 34.2215)
Mount Sukumo;Point(139.037222222 35.005)
Te Puke;Point(174.03 -35.252)
Mount Asakuksa;Point(139.23351 37.34365)
Waiowa;Point(149.075 -9.56667)
Volcán Cacho Negro;Point(-84.046111111 10.195833333)
Tore;Point(154.935 -5.835)
Лисюхоудль;Point(-23.24888889 64.87361111)
Washiba-Kumonotaira;Point(137.594167 36.408056)
Cerro Cachio;Point(-89.748988888 13.900033333)
Kutum Volcanic Field;Point(25.85 14.57)
Serdán-Oriental;Point(-97.47 19.27)
Kiska;Point(177.602 52.103)
Mount Takasaki;Point(131.524167 33.251944)
Mount Iizuna;Point(138.133333333 36.733333333)
Ахтанизовская блевака;Point(37.08202222 45.31215556)
Sierra la Primavera;Point(-103.52 20.62)
Mount Mayu;Point(130.33944444 32.76833333)
Tangaroa;Point(178.028 -36.321)
Papayo;Point(-98.7 19.308)
Mount Kurohime;Point(138.1283 36.8175)
Maroa;Point(176.08 -38.42)
Mount Hanare;Point(138.61202778 36.35388889)
Comondu-La Purisima;Point(-111.92 26.0)
Q12763633;Point(96.8211 4.768889)
Mount Kinbō;Point(130.638611111 32.813888888)
Morne Plat Pays;Point(-61.366666666 15.25)
Q12775851;Point(-27.316666666 38.733333333)
Clark;Point(177.839 -36.446)
Rumble III;Point(178.478 -35.745)
Jingbo;Point(128.83 44.08)
East Diamante;Point(145.67 15.93)
Zitácuaro-Valle de Bravo;Point(-100.25 19.4)
Cerro Asososca;Point(-86.675 12.453)
Las Cumbres;Point(-97.27 19.15)
Cerro Congo;Point(-84.227222222 10.254444444)
Río Murta;Point(-72.708 -46.17)
