earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q5906836,Q5906836,Point(8.836 36.232)
http://www.wikidata.org/entity/Q5922673,1955 Alexandria earthquake,Point(29.748 32.418)
http://www.wikidata.org/entity/Q5918476,"1954 earthquake, Thessaly",Point(22.162 39.228)
http://www.wikidata.org/entity/Q5919214,Q5919214,Point(54.497 27.814)
http://www.wikidata.org/entity/Q5925972,1955 Lanao earthquake,Point(123.157 7.658)
http://www.wikidata.org/entity/Q5882862,Q5882862,Point(90.721 24.937)
http://www.wikidata.org/entity/Q5905817,Q5905817,Point(95.374 5.57)
http://www.wikidata.org/entity/Q5914014,1957 Mongolia earthquake,Point(99.368 45.189)
http://www.wikidata.org/entity/Q5639143,Q5639143,Point(-69.939 -21.865)
http://www.wikidata.org/entity/Q5884773,Q5884773,Point(68.588 29.988)
http://www.wikidata.org/entity/Q5886128,Q5886128,Point(-67.885 -34.866)
http://www.wikidata.org/entity/Q5881116,1913 Gorna Oryahovitsa earthquake,Point(25.689722222 43.122222222)
http://www.wikidata.org/entity/Q5912943,Q5912943,Point(103.189 35.438)
http://www.wikidata.org/entity/Q5902240,1903 Kashmar earthquake,Point(58.2 35.2)
http://www.wikidata.org/entity/Q5915011,1918 Celebes Sea earthquake,Point(124.377 5.967)
http://www.wikidata.org/entity/Q5690855,1903 Mendoza earthquake,Point(-69.16666667 -32.16666667)
http://www.wikidata.org/entity/Q5725758,Q5725758,Point(52.42 35.59)
http://www.wikidata.org/entity/Q5909864,Q5909864,Point(101.759 29.957)
http://www.wikidata.org/entity/Q5877723,Q5877723,Point(73.423 40.622)
http://www.wikidata.org/entity/Q5922145,Q5922145,Point(-69.819 9.71)
http://www.wikidata.org/entity/Q5919669,Q5919669,Point(-91.138 13.862)
http://www.wikidata.org/entity/Q5913404,Q5913404,Point(-77.535 -8.41)
http://www.wikidata.org/entity/Q5911318,1923 Torbat-e Heydarieh earthquake,Point(59.12 35.21)
http://www.wikidata.org/entity/Q5921152,Q5921152,Point(39.717 10.466)
http://www.wikidata.org/entity/Q5317612,Duvall earthquake,Point(-121.85 47.76)
http://www.wikidata.org/entity/Q5906314,Q5906314,Point(51.666 29.637)
http://www.wikidata.org/entity/Q5917870,1928 Torbalı earthquake,Point(27.36145 38.1545373)
http://www.wikidata.org/entity/Q5907109,1952 Misis earthquake,Point(35.496 36.841)
