Earthquake,Earthquake_Lat,Earthquake_Lon,Volcano,Volcano_Lat,Volcano_Lon,Distance_km
Землетрясение на Соломоновых островах (2010),-9.019,157.551,Coleman Seamount,-8.841,157.16,47.29
Землетрясение к западу-северо-западу от Прогресо; Мексика (2010),32.617,-115.756,Cerro Prieto,32.418,-115.308,47.53
Землетрясение к западу-северо-западу от Прогресо; Мексика (2010),32.675,-115.758,Cerro Prieto,32.418,-115.308,50.98
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.682,-115.797,Cerro Prieto,32.418,-115.308,54.47
Землетрясение к западу от Бомонта; Калифорния (2010),33.932,-117.023,Pipkin,34.68666667,-116.62,91.56
Землетрясение к юго-западу от Дельта; Мексика (2010),32.3,-115.26,Cerro Prieto,32.418,-115.308,13.84
Землетрясение к западу от Прогресо; Мексика (2010),32.594,-115.774,Cerro Prieto,32.418,-115.308,47.94
Землетрясение в Антофагаста; Чили (2010),-22.227,-68.328,Сан-Педро,-21.8875,-68.39166667,38.16
Землетрясение в Сальвадоре (2010),13.728,-90.132,Cerro de Apaneca,13.841288888,-89.798941666,38.13
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.66,-115.825,Cerro Prieto,32.418,-115.308,55.49
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.66,-115.808,Cerro Prieto,32.418,-115.308,54.09
2018 Papua New Guinea earthquake,-6.149,142.766,Doma Peaks,-5.9,143.15,50.65
Землетрясение в Италии (1298),42.574,12.906,Альгид,41.7267,12.7786,94.7
2018 Oaxaca earthquake,16.646,-97.653,Cerro Volado,17.403611111,-97.607222222,83.99
1732 Irpinia earthquake,41.08,15.15,Camaldoli,40.8575,14.1914,84.39
2017 Ischia earthquake,40.74,13.9,Q30144976,40.849575,14.107504,21.32
Землетрясение в Италии (1517),41.012,15.21,Camaldoli,40.8575,14.1914,87.48
Землетрясение в Пуэбле,18.584,-98.399,Попокатепетль,19.02222,-98.62778,54.17
Q28670489,38.125,15.022,Gran Cratere,38.40417,14.9657,31.38
Землетрясение в Гватемале (2017),14.909,-92.009,Такана,15.1334,-92.1058,26.92
Землетрясение в Италии (1466),40.766,15.334,Camaldoli,40.8575,14.1914,96.94
2017 earthquake in Silesia,49.91,18.22,Q107467286,49.7750233,17.5246697,52.22
2016 Uchiura Bay earthquake,41.948333,140.986667,Mutsu-Hiuchi-dake,41.436389,141.056389,57.16
2016 Central Tottori earthquake,35.38,133.86,Hiruzen,35.316666666,133.683333333,17.53
2017 Surigao earthquake,9.8,125.35,Campana,9.208333333,124.708333333,96.16
Землетрясение в Гваделупе (1843),16.5,-62.2,Bouillante Chain,16.12,-61.75,63.88
Землетрясение в Италии (1702),41.121,14.989,Camaldoli,40.8575,14.1914,73.22
Землетрясение на Гавайях,19.37,-155.032,Mauna Ulu,19.3668,-155.201,17.76
Землетрясение в Японии (1997),34.44,131.665,Абу (вулкан),34.5,131.6,8.94
Землетрясения в Тбилиси (2002),41.77,44.86,Shadil-Khokh volcano,42.5425,44.2975,97.59
землетрясение в Осаке в 2018 году,34.834,135.606,Takurayama,35.345833333,134.918055555,84.61
Землетрясение в Италии (1853),40.818,15.215,Camaldoli,40.8575,14.1914,86.44
Землетрясение на Филиппинах (2017),5.504,125.066,Балут (вулкан),5.398611111,125.374444444,36.11
Землетрясение в Чили (2017),-39.385,-71.803,Quetrupillán,-39.5,-71.7,15.54
2017 Costa Rica earthquake,9.526,-84.505,Поас,10.1978153,-84.2302979,80.18
2017 Leyte earthquake,11.11,124.69,Билиран,11.523,124.535,48.72
Q41456882,32.55073,-115.07987,Cerro Prieto,32.418,-115.308,26.01
2018 Java earthquake,-7.092,105.963,Pulosari,-6.342,105.975,82.95
Землетрясение в Вануату (2010),-17.541,168.069,North Vate,-17.47,168.353,31.17
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-5.746,150.765,Witori,-5.576,150.516,33.38
Землетрясение в Антофагаста; Чили (2010),-22.146,-68.216,Linzor,-22.15,-67.96667,25.72
Землетрясение в Вануату (2010),-13.698,166.643,Урепарапара (вулкан),-13.46666667,167.3166667,77.27
Землетрясение на Андреяновских островах (2010),51.374,-175.361,Koniuji,52.22,-175.13,95.47
Землетрясение на Мауи; Гавайи (2010),20.324,-156.469,East Molokai Volcano,21.11,-156.84,95.22
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-5.966,150.428,Witori,-5.576,150.516,44.22
Землетрясение на Яве; Индонезия (2010),-7.907,107.879,Wayang-Windu,-7.208,107.63,82.04
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-6.001,149.977,Witori,-5.576,150.516,75.98
Землетрясение в Вануату (2010),-13.643,166.485,Урепарапара (вулкан),-13.46666667,167.3166667,92.11
Землетрясение в восточной части Новой Гвинеи; Папуа-Новая Гвинея (2010),-5.486,146.822,Yomba,-4.883,146.717,67.69
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.705,-115.911,Cerro Prieto,32.418,-115.308,64.96
Землетрясение на Андреяновских островах (2010),51.423,-178.649,Гарелой,51.786666666,-178.803055555,41.85
Землетрясение на Андреяновских островах (2010),51.451,-175.87,Koniuji,52.22,-175.13,99.61
Землетрясение на Южно-Тихоокеанском поднятии (2010),-56.586,-142.292,Udintsev Transform,-56.153,-143.373,82.38
Землетрясение на северной Суматре; Индонезия (2010),4.64,96.832,Q12763633,4.768889,96.8211,14.3
Землетрясение на западном побережье Хонсю; Япония (2010),37.547,138.961,Mount Asakuksa,37.34365,139.23351,33.03
Землетрясение к югу от Альберто Овьедо Мота; Мексика (2010),32.048,-115.198,Cerro Prieto,32.418,-115.308,42.32
Землетрясение на Лисьих островах (2010),52.876,-169.848,Tana,52.83,-169.77,7.34
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-5.902,150.712,Witori,-5.576,150.516,42.08
Землетрясение на Южных Сандвичевых островах (2010),-56.412,-25.741,Mount Hodson,-56.7,-27.15,92.39
Землетрясение в Вануату (2010),-20.671,169.818,Анейтьюм (вулкан),-20.184166666,169.790555555,53.97
Землетрясение в Коста-Рике (2010),10.211,-84.293,El Viejo Volcano,10.26,-84.328888888,6.7
Землетрясение в Коста-Рике (2010),9.331,-84.206,Ирасу,9.979166666,-83.8525,81.52
2007 Martinique earthquake,14.943,-61.244,Morne Plat Pays,15.2495,-61.3465,35.66
2000 Iceland earthquakes,63.9777,-20.7099,Grímsnes,64.036666666,-20.889444444,10.97
1998 Acatlan,18.39,-97.44,Las Cumbres,19.15,-97.27,86.01
Шикотанское землетрясение,43.85,147.17,Берутарубе,44.46131,146.93163,70.55
2007 Andreanof Islands earthquake,51.34,-179.47,Гарелой,51.786666666,-178.803055555,67.89
Землетрясение в Колиме (1995),19.06,-104.21,Cerro Grande,19.515,-103.953888888,57.11
2000 New Ireland earthquakes,-3.98,152.169,Tavui,-4.12,152.2,15.86
2007 Guatemala earthquake,13.533333333,-90.6,Текуамбурро,14.156111111,-90.406944444,71.99
Землетрясение в Мексике (1995),16.84,-93.469,Эль-Чичон,17.36,-93.227777777,63.02
Землетрясение в Денали,63.514,-147.453,Баззард-Крик,64.062,-148.433,77.88
Землетрясение в Мексике (2012),18.229,-102.689,Cerro Mancira,18.5331,-103.5226,94.3
AD 17 Lydia earthquake,38.49,28.04,Q6044027,38.620277777,28.430833333,37.01
Землетрясение на Минданао (2002),6.033,124.249,Mount Parker,6.11416667,124.88972222,71.49
2007–2008 Nazko earthquakes,52.88,-124.08,Itcha Mountain,52.7175,-124.83,53.72
2002 Kalehe earthquake,-1.905,29.013,Ньирагонго,-1.516666666,29.25,50.39
1999 Hector Mine earthquake,34.6,-116.27,Pipkin,34.68666667,-116.62,33.5
2011 Zumpango earthquake,18.038,-99.796,Volcán La Tinaja,18.8516,-100.1002,95.62
2011 South Sandwich Islands earthquake,-55.98,-28.238,Заводовский,-56.3,-27.566666666,54.87
1993 Scotts Mills earthquake,45.03,-122.59,Гора Табор,45.510833,-122.595556,53.44
2007 Aisén Fjord earthquake,-45.266,-72.496,Cay,-45.0625,-72.98583333,44.66
Землетрясение в Оахака; Мексика (2010),16.527,-97.76,Cerro Volado,17.403611111,-97.607222222,98.37
2005 Tarapacá earthquake,-19.592,-69.12,Ислуга,-19.15,-68.833333333,57.45
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-6.019,150.497,Witori,-5.576,150.516,49.03
2000 Iceland earthquakes,63.97,-20.37,Geysir geothermal field,64.3167,-20.2999,38.8
Землетрясения в Эритрее (2011),13.42,41.694,Mallahle,13.277,41.655,16.38
Землетрясение на востоке Хонсю; Япония (2010),39.058,140.715,Mount Kurikoma,38.961111111,140.788888888,12.52
1605 Guangdong earthquake,19.9,110.5,volcanoes of the Leizhou Peninsula,20.5,110.16666667,75.01
2019 Yamagata earthquake,38.635,139.454,Hijiori,38.605833,140.178333,63.16
Q93990179,15.0306,-24.4873,Брава,14.85,-24.716666666,31.75
Землетрясение на острове Бугенвиль; Папуа-Новая Гвинея (2010),-6.534,155.647,Баканови,-6.15,155.35,53.7
Q97210718,35.7,139.7,Хаконе,35.23,139.023888888,80.53
2019 Davao del Sur earthquake,6.708,125.188,Parker Volcano,6.1144,124.8897,73.47
Землетрясение в центральном Перу (2010),-14.861,-71.715,Volcán Marhuas,-15.480555555,-72.016944444,75.85
Q94603197,-44.5,-73.0,Mentolat,-44.696666666,-73.075833333,22.67
1950 Calama earthquake,-23.977,-67.912,Cerro Toloncha,-23.938333333,-67.975,7.71
Q86678554,44.612,4.638,Mount Mézenc,44.91111111,4.195,48.32
2019 Visayas earthquake,11.79,125.38,Билиран,11.523,124.535,96.76
Землетрясение на Анатахане; Марианские острова (2010),16.492,145.725,South Sarigan Seamount,16.58,145.78,11.37
2019 Yilan earthquake,24.43,121.91,Zhuzi Mountain,25.210555555,121.559166666,93.45
2019 Cotabato earthquakes,6.75,125.0,Parker Volcano,6.1144,124.8897,71.34
2001 Tarapacá earthquake,-19.59,-69.306666666,Ислуга,-19.15,-68.833333333,69.61
Землетрясение на Сицилии; Италия (2010),38.415,14.916,Вулькано,38.404,14.962,4.2
1737 Valdivia earthquake,-39.813889,-73.245833,Cerros de Punguichay,-39.4784,-72.2154,95.97
2019 Ridgecrest earthquakes,35.766,-117.605,Golden Trout Creek,36.358,-118.32,92.0
