earthquakeLabel;location
1880 Luzon earthquakes;Point(120.997 14.0111)
1889 Kumamoto earthquake;Point(130.7 32.8)
1916–17 Nantou earthquakes;Point(121.0 24.0)
1902 Guatemala earthquake;Point(-91.5167 14.8333)
Землетрясение в Любляне (1895);Point(14.5 46.1)
1892 Laguna Salada earthquake;Point(-115.5 32.73)
1916 Irondale earthquake;Point(-86.69 33.53)
1667 Shamakhi earthquake;Point(48.6 40.6)
1755 Cape Ann Earthquake;Point(-70.2 42.7)
1911 Michoacán earthquake;Point(-102.5 17.5)
1914 Burdur earthquake;Point(30.27 37.82)
1663 Charlevoix earthquake;Point(-70.1 47.6)
1909 Borujerd earthquake;Point(50.0 33.0)
1918 Shantou earthquake;Point(117.24 23.54)
Шемахинское землетрясение (1902);Point(48.6 40.7)
Землетрясение в Антиохии (115);Point(36.1 36.1)
1906 Valparaíso earthquake;Point(-72.0003 -32.9925)
1912 Mürefte earthquake;Point(27.2 40.5)
1169 Sicily earthquake;Point(14.95 37.217)
1893 Quchan earthquake;Point(58.4 37.2)
1582 Ancuancu earthquake;Point(-68.1627 -16.569)
Великое цунами (1771);Point(124.3 24.0)
1925 Charlevoix–Kamouraska earthquake;Point(-69.8 47.8)
1687 Peru earthquake;Point(-75.916666666 -15.216666666)
1819 Rann of Kutch earthquake;Point(71.0 23.0)
1948 Fukui earthquake;Point(136.29 36.171667)
1909 Wabash River earthquake;Point(-87.2 39.8)
1645 Luzon earthquake;Point(121.75 16.7414)
1913 Asmara earthquake;Point(38.9 15.6)
1892 Recreo earthquake;Point(-65.0 -29.5)
Шемахинское землетрясение (1859);Point(48.4 40.38)
1694 Irpinia-Basilicata earthquake;Point(15.43 40.9)
1925 Dali earthquake;Point(100.4 25.7)
1797 Sumatra earthquake;Point(99.0 -1.0)
1746 Lima - Callao earthquake;Point(-77.28 -11.35)
Чуйское землетрясение (2003);Point(87.832 49.954)
1868 Ecuador earthquakes;Point(-78.18 0.31)
1927 Gulang earthquake;Point(102.31 37.39)
1721 Tabriz earthquake;Point(46.3 38.0)
1925 Santa Barbara earthquake;Point(-119.8 34.3)
1861 Sumatra earthquake;Point(97.5 1.0)
1868 Hayward earthquake;Point(-122.1 37.7)
1906 Aleutian Islands earthquake;Point(-178.36 50.6)
Землетрясение в Камакуре (1293);Point(139.4 35.2)
1732 Montreal earthquake;Point(-73.6 45.5)
Ленинаканское землетрясение;Point(43.7 40.7)
Землетрясение в Гватемале (1773);Point(-90.7 14.6)
1915 Pleasant Valley earthquake;Point(-117.36 40.2)
1881 Chios earthquake;Point(26.25 38.25)
1906 Swansea earthquake;Point(-3.79859 51.5905)
Землетрясение в Альпаго 1873 года;Point(12.383 46.167)
1868 Hawaii earthquake;Point(-155.5 19.2)
Землетрясение в Мендосе (1861);Point(-68.9 -32.9)
1653 East Izmir earthquake;Point(28.2 38.2)
1810 Crete earthquake;Point(25.6 35.5)
1915 Asmara earthquake;Point(39.0 16.0)
1797 Riobamba earthquake;Point(-78.6 -1.6)
1863 Jujuy earthquake;Point(-65.0 -23.6)
1906 Ecuador-Colombia earthquake;Point(-81.5 1.0)
1895 Quchan earthquake;Point(58.4 37.1)
1907 Qaratog earthquake;Point(67.9 38.5)
Ереванское землетрясение 1679 г.;Point(44.7 40.2)
"2013 Nariño; Colombia earthquake";Point(-77.4 1.142)
1751 Port-au-Prince earthquake;Point(-72.3 18.5)
1751 Concepción earthquake;Point(-73.0 -36.8)
Землетрясение в Мендосе (1920);Point(-68.24 -32.42)
1894 San Juan earthquake;Point(-69.0 -29.6)
1918 Vancouver Island earthquake;Point(-126.22 49.44)
1943 Adapazarı-Hendek earthquake;Point(30.5 40.6)
1942 Niksar-Erbaa earthquake;Point(36.47 40.87)
1929 Koppeh Dagh earthquake;Point(57.6 37.8)
1952 Hasankale earthquake;Point(41.7 39.9)
1987 Ecuador earthquakes;Point(-77.37 0.09)
Землетрясение в Аделаиде (1954);Point(138.557 -35.03)
1990 Bishop's Castle earthquake;Point(-3.03 52.43)
Землетрясение в Индонезии (1982);Point(123.08 -8.405)
1947 Wisconsin earthquake;Point(-87.95 43.05)
1935 Helena earthquake;Point(-112.0 46.6)
Землетрясение на Филиппинах (1976);Point(124.09 6.29)
1953 Suva earthquake;Point(178.3 -18.2)
1953 Torud earthquake;Point(55.08 35.4)
1935 Erdek-Marmara Islands earthquake;Point(27.5 40.5)
1946 Varto-Hınıs earthquake;Point(41.2 39.3)
1968 Hyūga-nada earthquake;Point(132.5 32.3)
Землетрясение в Сирии (1956);Point(35.575 33.776)
1992 Cape Mendocino earthquakes;Point(-124.23 40.33)
1967 Koynanagar earthquake;Point(73.76 17.4)
1972 Qir earthquake;Point(52.8 28.4)
Землетрясение в море Баффина (1933);Point(-70.01 73.12)
Землетрясение в Японии (1974);Point(138.78 34.63)
Землетрясение в Индии (1941);Point(92.575 12.017)
1948 Desert Hot Springs earthquake;Point(-116.47 33.92)
Землетрясения на Курилах;Point(149.54 44.81)
1991 Kalabahi earthquakes;Point(124.681 -8.099)
1931 Myitkyina earthquake;Point(96.15 25.67)
1983 Borah Peak earthquake;Point(-113.8 44.08)
1985 Pichilemu earthquake;Point(-71.51 -34.12)
1987 Whittier Narrows earthquake;Point(-118.078 34.061)
1981 Irian Jaya earthquake;Point(139.23 -4.58)
1948 Salta earthquake;Point(-64.8 -24.9)
Землетрясение в Китае (1974);Point(104.015 28.243)
1932 Changma earthquake;Point(96.7 39.7)
1966 Peru earthquake;Point(-78.7 -10.7)
