seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q1060969,هيروشي ناكا,1960-11-19T00:00:00Z
http://www.wikidata.org/entity/Q1060969,هيروشي ناكا,1960-11-29T00:00:00Z
http://www.wikidata.org/entity/Q1067530,Kenichi Endō,1961-06-28T00:00:00Z
http://www.wikidata.org/entity/Q1135000,Shinji Kawada,1971-10-06T00:00:00Z
http://www.wikidata.org/entity/Q2273472,Nobuyuki Hiyama,1967-08-25T00:00:00Z
http://www.wikidata.org/entity/Q2280487,Daisuke Gōri,1952-02-08T00:00:00Z
http://www.wikidata.org/entity/Q2462300,Hideyuki Umezu,1955-07-24T00:00:00Z
http://www.wikidata.org/entity/Q5237224,David Matranga,1975-04-20T00:00:00Z
http://www.wikidata.org/entity/Q6132818,Karin Ogino,1995-10-12T00:00:00Z
http://www.wikidata.org/entity/Q6381410,Kazue Komiya,1952-07-12T00:00:00Z
http://www.wikidata.org/entity/Q9125022,Ayaka Ōhashi,1994-09-13T00:00:00Z
http://www.wikidata.org/entity/Q11429286,Toshiki Masuda,1990-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1138332,Ren Ōsugi,1951-09-27T00:00:00Z
http://www.wikidata.org/entity/Q1139881,Atsuko Yuya,1970-09-01T00:00:00Z
http://www.wikidata.org/entity/Q1154179,Naoto Takenaka,1956-03-20T00:00:00Z
http://www.wikidata.org/entity/Q11451654,Kiyono Yasuno,1989-07-09T00:00:00Z
http://www.wikidata.org/entity/Q11485494,Asuka Nishi,1988-02-10T00:00:00Z
http://www.wikidata.org/entity/Q16264425,رينا أويدا,1994-01-17T00:00:00Z
http://www.wikidata.org/entity/Q17158282,Yūsuke Kobayashi,1985-03-25T00:00:00Z
http://www.wikidata.org/entity/Q2568049,Kan'ichi Kurita,1958-03-03T00:00:00Z
http://www.wikidata.org/entity/Q49564,Rei Sakuma,1965-01-05T00:00:00Z
http://www.wikidata.org/entity/Q17349748,يوما أوتشيدا,1992-09-21T00:00:00Z
http://www.wikidata.org/entity/Q22129371,Minori Suzuki,1997-10-01T00:00:00Z
http://www.wikidata.org/entity/Q24870899,Nozomi Nishida,1990-07-22T00:00:00Z
http://www.wikidata.org/entity/Q1192158,Yasunori Matsumoto,1970-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1193042,Mika Kanai,1964-03-18T00:00:00Z
http://www.wikidata.org/entity/Q1205717,Yuri Chinen,1993-11-30T00:00:00Z
http://www.wikidata.org/entity/Q2665343,ماساكو كاتسكي,1958-10-15T00:00:00Z
http://www.wikidata.org/entity/Q2665343,ماساكو كاتسكي,1959-10-15T00:00:00Z
http://www.wikidata.org/entity/Q1315917,Томоми Нисимура,1946-06-02T00:00:00Z
http://www.wikidata.org/entity/Q2713581,Junko Noda,1971-06-29T00:00:00Z
http://www.wikidata.org/entity/Q1323399,أومي مينامي,1968-07-13T00:00:00Z
http://www.wikidata.org/entity/Q1323728,Bin Shimada,1954-11-20T00:00:00Z
http://www.wikidata.org/entity/Q271859,Yūko Mizutani,1964-11-04T00:00:00Z
http://www.wikidata.org/entity/Q4117042,Masaru Ikeda,1942-09-27T00:00:00Z
